Issue_Year,Cash_Settlements,Guarantees,Guar_Duration,Guar_Duration_Lower,Guar_Duration_Upper,Type,Key,Rate_%
1983,True,True,x<=5,-1,5,A,1983_TRUE_TRUE_x<=5_A,11.25
1984,True,True,x<=5,-1,5,A,1984_TRUE_TRUE_x<=5_A,11.25
1985,True,True,x<=5,-1,5,A,1985_TRUE_TRUE_x<=5_A,11.0
1986,True,True,x<=5,-1,5,A,1986_TRUE_TRUE_x<=5_A,9.25
1987,True,True,x<=5,-1,5,A,1987_TRUE_TRUE_x<=5_A,8.0
1988,True,True,x<=5,-1,5,A,1988_TRUE_TRUE_x<=5_A,8.75
1989,True,True,x<=5,-1,5,A,1989_TRUE_TRUE_x<=5_A,8.75
1990,True,True,x<=5,-1,5,A,1990_TRUE_TRUE_x<=5_A,8.25
1991,True,True,x<=5,-1,5,A,1991_TRUE_TRUE_x<=5_A,8.25
1992,True,True,x<=5,-1,5,A,1992_TRUE_TRUE_x<=5_A,7.75
1993,True,True,x<=5,-1,5,A,1993_TRUE_TRUE_x<=5_A,7.0
1994,True,True,x<=5,-1,5,A,1994_TRUE_TRUE_x<=5_A,6.5
1995,True,True,x<=5,-1,5,A,1995_TRUE_TRUE_x<=5_A,7.25
1996,True,True,x<=5,-1,5,A,1996_TRUE_TRUE_x<=5_A,6.75
1997,True,True,x<=5,-1,5,A,1997_TRUE_TRUE_x<=5_A,6.75
1998,True,True,x<=5,-1,5,A,1998_TRUE_TRUE_x<=5_A,6.25
1999,True,True,x<=5,-1,5,A,1999_TRUE_TRUE_x<=5_A,6.25
2000,True,True,x<=5,-1,5,A,2000_TRUE_TRUE_x<=5_A,7.0
2001,True,True,x<=5,-1,5,A,2001_TRUE_TRUE_x<=5_A,6.75
2002,True,True,x<=5,-1,5,A,2002_TRUE_TRUE_x<=5_A,6.5
2003,True,True,x<=5,-1,5,A,2003_TRUE_TRUE_x<=5_A,6.0
2004,True,True,x<=5,-1,5,A,2004_TRUE_TRUE_x<=5_A,5.5
2005,True,True,x<=5,-1,5,A,2005_TRUE_TRUE_x<=5_A,5.25
2006,True,True,x<=5,-1,5,A,2006_TRUE_TRUE_x<=5_A,5.25
2007,True,True,x<=5,-1,5,A,2007_TRUE_TRUE_x<=5_A,5.5
2008,True,True,x<=5,-1,5,A,2008_TRUE_TRUE_x<=5_A,5.5
2009,True,True,x<=5,-1,5,A,2009_TRUE_TRUE_x<=5_A,6.0
2010,True,True,x<=5,-1,5,A,2010_TRUE_TRUE_x<=5_A,5.25
2011,True,True,x<=5,-1,5,A,2011_TRUE_TRUE_x<=5_A,5.0
2012,True,True,x<=5,-1,5,A,2012_TRUE_TRUE_x<=5_A,4.25
2013,True,True,x<=5,-1,5,A,2013_TRUE_TRUE_x<=5_A,4.0
2014,True,True,x<=5,-1,5,A,2014_TRUE_TRUE_x<=5_A,4.5
2015,True,True,x<=5,-1,5,A,2015_TRUE_TRUE_x<=5_A,4.0
2016,True,True,x<=5,-1,5,A,2016_TRUE_TRUE_x<=5_A,4.0
2017,True,True,x<=5,-1,5,A,2017_TRUE_TRUE_x<=5_A,3.75
2018,True,True,x<=5,-1,5,A,2018_TRUE_TRUE_x<=5_A,3.75
2019,True,True,x<=5,-1,5,A,2019_TRUE_TRUE_x<=5_A,4.0
2020,True,True,x<=5,-1,5,A,2020_TRUE_TRUE_x<=5_A,3.25
2021,True,True,x<=5,-1,5,A,2021_TRUE_TRUE_x<=5_A,3.0
2022,True,True,x<=5,-1,5,A,2022_TRUE_TRUE_x<=5_A,3.5
2023,True,True,x<=5,-1,5,A,2023_TRUE_TRUE_x<=5_A,4.75
2024,True,True,x<=5,-1,5,A,2024_TRUE_TRUE_x<=5_A,5.0
1983,True,True,x<=5,-1,5,B,1983_TRUE_TRUE_x<=5_B,9.25
1984,True,True,x<=5,-1,5,B,1984_TRUE_TRUE_x<=5_B,9.25
1985,True,True,x<=5,-1,5,B,1985_TRUE_TRUE_x<=5_B,9.0
1986,True,True,x<=5,-1,5,B,1986_TRUE_TRUE_x<=5_B,7.75
1987,True,True,x<=5,-1,5,B,1987_TRUE_TRUE_x<=5_B,6.75
1988,True,True,x<=5,-1,5,B,1988_TRUE_TRUE_x<=5_B,7.5
1989,True,True,x<=5,-1,5,B,1989_TRUE_TRUE_x<=5_B,7.25
1990,True,True,x<=5,-1,5,B,1990_TRUE_TRUE_x<=5_B,7.0
1991,True,True,x<=5,-1,5,B,1991_TRUE_TRUE_x<=5_B,7.0
1992,True,True,x<=5,-1,5,B,1992_TRUE_TRUE_x<=5_B,6.5
1993,True,True,x<=5,-1,5,B,1993_TRUE_TRUE_x<=5_B,6.0
1994,True,True,x<=5,-1,5,B,1994_TRUE_TRUE_x<=5_B,5.75
1995,True,True,x<=5,-1,5,B,1995_TRUE_TRUE_x<=5_B,6.25
1996,True,True,x<=5,-1,5,B,1996_TRUE_TRUE_x<=5_B,5.75
1997,True,True,x<=5,-1,5,B,1997_TRUE_TRUE_x<=5_B,5.75
1998,True,True,x<=5,-1,5,B,1998_TRUE_TRUE_x<=5_B,5.5
1999,True,True,x<=5,-1,5,B,1999_TRUE_TRUE_x<=5_B,5.5
2000,True,True,x<=5,-1,5,B,2000_TRUE_TRUE_x<=5_B,6.0
2001,True,True,x<=5,-1,5,B,2001_TRUE_TRUE_x<=5_B,5.75
2002,True,True,x<=5,-1,5,B,2002_TRUE_TRUE_x<=5_B,5.75
2003,True,True,x<=5,-1,5,B,2003_TRUE_TRUE_x<=5_B,5.25
2004,True,True,x<=5,-1,5,B,2004_TRUE_TRUE_x<=5_B,5.0
2005,True,True,x<=5,-1,5,B,2005_TRUE_TRUE_x<=5_B,4.75
2006,True,True,x<=5,-1,5,B,2006_TRUE_TRUE_x<=5_B,4.75
2007,True,True,x<=5,-1,5,B,2007_TRUE_TRUE_x<=5_B,4.75
2008,True,True,x<=5,-1,5,B,2008_TRUE_TRUE_x<=5_B,5.0
2009,True,True,x<=5,-1,5,B,2009_TRUE_TRUE_x<=5_B,5.25
2010,True,True,x<=5,-1,5,B,2010_TRUE_TRUE_x<=5_B,4.75
2011,True,True,x<=5,-1,5,B,2011_TRUE_TRUE_x<=5_B,4.5
2012,True,True,x<=5,-1,5,B,2012_TRUE_TRUE_x<=5_B,4.0
2013,True,True,x<=5,-1,5,B,2013_TRUE_TRUE_x<=5_B,3.75
2014,True,True,x<=5,-1,5,B,2014_TRUE_TRUE_x<=5_B,4.0
2015,True,True,x<=5,-1,5,B,2015_TRUE_TRUE_x<=5_B,3.75
2016,True,True,x<=5,-1,5,B,2016_TRUE_TRUE_x<=5_B,3.75
2017,True,True,x<=5,-1,5,B,2017_TRUE_TRUE_x<=5_B,3.75
2018,True,True,x<=5,-1,5,B,2018_TRUE_TRUE_x<=5_B,3.75
2019,True,True,x<=5,-1,5,B,2019_TRUE_TRUE_x<=5_B,3.75
2020,True,True,x<=5,-1,5,B,2020_TRUE_TRUE_x<=5_B,3.25
2021,True,True,x<=5,-1,5,B,2021_TRUE_TRUE_x<=5_B,3.0
2022,True,True,x<=5,-1,5,B,2022_TRUE_TRUE_x<=5_B,3.25
2023,True,True,x<=5,-1,5,B,2023_TRUE_TRUE_x<=5_B,4.25
2024,True,True,x<=5,-1,5,B,2024_TRUE_TRUE_x<=5_B,4.5
1983,True,True,x<=5,-1,5,C,1983_TRUE_TRUE_x<=5_C,8.25
1984,True,True,x<=5,-1,5,C,1984_TRUE_TRUE_x<=5_C,8.0
1985,True,True,x<=5,-1,5,C,1985_TRUE_TRUE_x<=5_C,8.0
1986,True,True,x<=5,-1,5,C,1986_TRUE_TRUE_x<=5_C,6.75
1987,True,True,x<=5,-1,5,C,1987_TRUE_TRUE_x<=5_C,6.25
1988,True,True,x<=5,-1,5,C,1988_TRUE_TRUE_x<=5_C,6.75
1989,True,True,x<=5,-1,5,C,1989_TRUE_TRUE_x<=5_C,6.5
1990,True,True,x<=5,-1,5,C,1990_TRUE_TRUE_x<=5_C,6.25
1991,True,True,x<=5,-1,5,C,1991_TRUE_TRUE_x<=5_C,6.25
1992,True,True,x<=5,-1,5,C,1992_TRUE_TRUE_x<=5_C,6.0
1993,True,True,x<=5,-1,5,C,1993_TRUE_TRUE_x<=5_C,5.5
1994,True,True,x<=5,-1,5,C,1994_TRUE_TRUE_x<=5_C,5.25
1995,True,True,x<=5,-1,5,C,1995_TRUE_TRUE_x<=5_C,5.75
1996,True,True,x<=5,-1,5,C,1996_TRUE_TRUE_x<=5_C,5.25
1997,True,True,x<=5,-1,5,C,1997_TRUE_TRUE_x<=5_C,5.25
1998,True,True,x<=5,-1,5,C,1998_TRUE_TRUE_x<=5_C,5.0
1999,True,True,x<=5,-1,5,C,1999_TRUE_TRUE_x<=5_C,5.0
2000,True,True,x<=5,-1,5,C,2000_TRUE_TRUE_x<=5_C,5.5
2001,True,True,x<=5,-1,5,C,2001_TRUE_TRUE_x<=5_C,5.25
2002,True,True,x<=5,-1,5,C,2002_TRUE_TRUE_x<=5_C,5.25
2003,True,True,x<=5,-1,5,C,2003_TRUE_TRUE_x<=5_C,4.75
2004,True,True,x<=5,-1,5,C,2004_TRUE_TRUE_x<=5_C,4.75
2005,True,True,x<=5,-1,5,C,2005_TRUE_TRUE_x<=5_C,4.5
2006,True,True,x<=5,-1,5,C,2006_TRUE_TRUE_x<=5_C,4.5
2007,True,True,x<=5,-1,5,C,2007_TRUE_TRUE_x<=5_C,4.5
2008,True,True,x<=5,-1,5,C,2008_TRUE_TRUE_x<=5_C,4.5
2009,True,True,x<=5,-1,5,C,2009_TRUE_TRUE_x<=5_C,5.0
2010,True,True,x<=5,-1,5,C,2010_TRUE_TRUE_x<=5_C,4.25
2011,True,True,x<=5,-1,5,C,2011_TRUE_TRUE_x<=5_C,4.25
2012,True,True,x<=5,-1,5,C,2012_TRUE_TRUE_x<=5_C,3.75
2013,True,True,x<=5,-1,5,C,2013_TRUE_TRUE_x<=5_C,3.5
2014,True,True,x<=5,-1,5,C,2014_TRUE_TRUE_x<=5_C,3.75
2015,True,True,x<=5,-1,5,C,2015_TRUE_TRUE_x<=5_C,3.5
2016,True,True,x<=5,-1,5,C,2016_TRUE_TRUE_x<=5_C,3.75
2017,True,True,x<=5,-1,5,C,2017_TRUE_TRUE_x<=5_C,3.5
2018,True,True,x<=5,-1,5,C,2018_TRUE_TRUE_x<=5_C,3.5
2019,True,True,x<=5,-1,5,C,2019_TRUE_TRUE_x<=5_C,3.75
2020,True,True,x<=5,-1,5,C,2020_TRUE_TRUE_x<=5_C,3.25
2021,True,True,x<=5,-1,5,C,2021_TRUE_TRUE_x<=5_C,3.0
2022,True,True,x<=5,-1,5,C,2022_TRUE_TRUE_x<=5_C,3.25
2023,True,True,x<=5,-1,5,C,2023_TRUE_TRUE_x<=5_C,4.0
2024,True,True,x<=5,5,10,C,2024_TRUE_TRUE_x<=5_C,4.25
1983,True,True,5<x<=10,5,10,A,1983_TRUE_TRUE_5<x<=10_A,10.75
1984,True,True,5<x<=10,5,10,A,1984_TRUE_TRUE_5<x<=10_A,10.75
1985,True,True,5<x<=10,5,10,A,1985_TRUE_TRUE_5<x<=10_A,10.5
1986,True,True,5<x<=10,5,10,A,1986_TRUE_TRUE_5<x<=10_A,8.75
1987,True,True,5<x<=10,5,10,A,1987_TRUE_TRUE_5<x<=10_A,7.75
1988,True,True,5<x<=10,5,10,A,1988_TRUE_TRUE_5<x<=10_A,8.5
1989,True,True,5<x<=10,5,10,A,1989_TRUE_TRUE_5<x<=10_A,8.25
1990,True,True,5<x<=10,5,10,A,1990_TRUE_TRUE_5<x<=10_A,8.0
1991,True,True,5<x<=10,5,10,A,1991_TRUE_TRUE_5<x<=10_A,8.0
1992,True,True,5<x<=10,5,10,A,1992_TRUE_TRUE_5<x<=10_A,7.5
1993,True,True,5<x<=10,5,10,A,1993_TRUE_TRUE_5<x<=10_A,6.75
1994,True,True,5<x<=10,5,10,A,1994_TRUE_TRUE_5<x<=10_A,6.5
1995,True,True,5<x<=10,5,10,A,1995_TRUE_TRUE_5<x<=10_A,7.0
1996,True,True,5<x<=10,5,10,A,1996_TRUE_TRUE_5<x<=10_A,6.5
1997,True,True,5<x<=10,5,10,A,1997_TRUE_TRUE_5<x<=10_A,6.5
1998,True,True,5<x<=10,5,10,A,1998_TRUE_TRUE_5<x<=10_A,6.0
1999,True,True,5<x<=10,5,10,A,1999_TRUE_TRUE_5<x<=10_A,6.0
2000,True,True,5<x<=10,5,10,A,2000_TRUE_TRUE_5<x<=10_A,6.75
2001,True,True,5<x<=10,5,10,A,2001_TRUE_TRUE_5<x<=10_A,6.5
2002,True,True,5<x<=10,5,10,A,2002_TRUE_TRUE_5<x<=10_A,6.25
2003,True,True,5<x<=10,5,10,A,2003_TRUE_TRUE_5<x<=10_A,5.75
2004,True,True,5<x<=10,5,10,A,2004_TRUE_TRUE_5<x<=10_A,5.5
2005,True,True,5<x<=10,5,10,A,2005_TRUE_TRUE_5<x<=10_A,5.0
2006,True,True,5<x<=10,5,10,A,2006_TRUE_TRUE_5<x<=10_A,5.25
2007,True,True,5<x<=10,5,10,A,2007_TRUE_TRUE_5<x<=10_A,5.25
2008,True,True,5<x<=10,5,10,A,2008_TRUE_TRUE_5<x<=10_A,5.5
2009,True,True,5<x<=10,5,10,A,2009_TRUE_TRUE_5<x<=10_A,5.75
2010,True,True,5<x<=10,5,10,A,2010_TRUE_TRUE_5<x<=10_A,5.0
2011,True,True,5<x<=10,5,10,A,2011_TRUE_TRUE_5<x<=10_A,4.75
2012,True,True,5<x<=10,5,10,A,2012_TRUE_TRUE_5<x<=10_A,4.25
2013,True,True,5<x<=10,5,10,A,2013_TRUE_TRUE_5<x<=10_A,3.75
2014,True,True,5<x<=10,5,10,A,2014_TRUE_TRUE_5<x<=10_A,4.25
2015,True,True,5<x<=10,5,10,A,2015_TRUE_TRUE_5<x<=10_A,4.0
2016,True,True,5<x<=10,5,10,A,2016_TRUE_TRUE_5<x<=10_A,4.0
2017,True,True,5<x<=10,5,10,A,2017_TRUE_TRUE_5<x<=10_A,3.75
2018,True,True,5<x<=10,5,10,A,2018_TRUE_TRUE_5<x<=10_A,3.75
2019,True,True,5<x<=10,5,10,A,2019_TRUE_TRUE_5<x<=10_A,4.0
2020,True,True,5<x<=10,5,10,A,2020_TRUE_TRUE_5<x<=10_A,3.25
2021,True,True,5<x<=10,5,10,A,2021_TRUE_TRUE_5<x<=10_A,3.0
2022,True,True,5<x<=10,5,10,A,2022_TRUE_TRUE_5<x<=10_A,3.5
2023,True,True,5<x<=10,5,10,A,2023_TRUE_TRUE_5<x<=10_A,4.5
2024,True,True,5<x<=10,5,10,A,2024_TRUE_TRUE_5<x<=10_A,5.0
1983,True,True,5<x<=10,5,10,B,1983_TRUE_TRUE_5<x<=10_B,9.25
1984,True,True,5<x<=10,5,10,B,1984_TRUE_TRUE_5<x<=10_B,9.25
1985,True,True,5<x<=10,5,10,B,1985_TRUE_TRUE_5<x<=10_B,9.0
1986,True,True,5<x<=10,5,10,B,1986_TRUE_TRUE_5<x<=10_B,7.75
1987,True,True,5<x<=10,5,10,B,1987_TRUE_TRUE_5<x<=10_B,6.75
1988,True,True,5<x<=10,5,10,B,1988_TRUE_TRUE_5<x<=10_B,7.5
1989,True,True,5<x<=10,5,10,B,1989_TRUE_TRUE_5<x<=10_B,7.25
1990,True,True,5<x<=10,5,10,B,1990_TRUE_TRUE_5<x<=10_B,7.0
1991,True,True,5<x<=10,5,10,B,1991_TRUE_TRUE_5<x<=10_B,7.0
1992,True,True,5<x<=10,5,10,B,1992_TRUE_TRUE_5<x<=10_B,6.5
1993,True,True,5<x<=10,5,10,B,1993_TRUE_TRUE_5<x<=10_B,6.0
1994,True,True,5<x<=10,5,10,B,1994_TRUE_TRUE_5<x<=10_B,5.75
1995,True,True,5<x<=10,5,10,B,1995_TRUE_TRUE_5<x<=10_B,6.25
1996,True,True,5<x<=10,5,10,B,1996_TRUE_TRUE_5<x<=10_B,5.75
1997,True,True,5<x<=10,5,10,B,1997_TRUE_TRUE_5<x<=10_B,5.75
1998,True,True,5<x<=10,5,10,B,1998_TRUE_TRUE_5<x<=10_B,5.5
1999,True,True,5<x<=10,5,10,B,1999_TRUE_TRUE_5<x<=10_B,5.5
2000,True,True,5<x<=10,5,10,B,2000_TRUE_TRUE_5<x<=10_B,6.0
2001,True,True,5<x<=10,5,10,B,2001_TRUE_TRUE_5<x<=10_B,5.75
2002,True,True,5<x<=10,5,10,B,2002_TRUE_TRUE_5<x<=10_B,5.75
2003,True,True,5<x<=10,5,10,B,2003_TRUE_TRUE_5<x<=10_B,5.25
2004,True,True,5<x<=10,5,10,B,2004_TRUE_TRUE_5<x<=10_B,5.0
2005,True,True,5<x<=10,5,10,B,2005_TRUE_TRUE_5<x<=10_B,4.75
2006,True,True,5<x<=10,5,10,B,2006_TRUE_TRUE_5<x<=10_B,4.75
2007,True,True,5<x<=10,5,10,B,2007_TRUE_TRUE_5<x<=10_B,4.75
2008,True,True,5<x<=10,5,10,B,2008_TRUE_TRUE_5<x<=10_B,5.0
2009,True,True,5<x<=10,5,10,B,2009_TRUE_TRUE_5<x<=10_B,5.25
2010,True,True,5<x<=10,5,10,B,2010_TRUE_TRUE_5<x<=10_B,4.75
2011,True,True,5<x<=10,5,10,B,2011_TRUE_TRUE_5<x<=10_B,4.5
2012,True,True,5<x<=10,5,10,B,2012_TRUE_TRUE_5<x<=10_B,4.0
2013,True,True,5<x<=10,5,10,B,2013_TRUE_TRUE_5<x<=10_B,3.75
2014,True,True,5<x<=10,5,10,B,2014_TRUE_TRUE_5<x<=10_B,4.0
2015,True,True,5<x<=10,5,10,B,2015_TRUE_TRUE_5<x<=10_B,3.75
2016,True,True,5<x<=10,5,10,B,2016_TRUE_TRUE_5<x<=10_B,3.75
2017,True,True,5<x<=10,5,10,B,2017_TRUE_TRUE_5<x<=10_B,3.75
2018,True,True,5<x<=10,5,10,B,2018_TRUE_TRUE_5<x<=10_B,3.75
2019,True,True,5<x<=10,5,10,B,2019_TRUE_TRUE_5<x<=10_B,3.75
2020,True,True,5<x<=10,5,10,B,2020_TRUE_TRUE_5<x<=10_B,3.25
2021,True,True,5<x<=10,5,10,B,2021_TRUE_TRUE_5<x<=10_B,3.0
2022,True,True,5<x<=10,5,10,B,2022_TRUE_TRUE_5<x<=10_B,3.25
2023,True,True,5<x<=10,5,10,B,2023_TRUE_TRUE_5<x<=10_B,4.25
1983,True,True,5<x<=10,5,10,C,1983_TRUE_TRUE_5<x<=10_C,8.25
1984,True,True,5<x<=10,5,10,C,1984_TRUE_TRUE_5<x<=10_C,8.0
1985,True,True,5<x<=10,5,10,C,1985_TRUE_TRUE_5<x<=10_C,8.0
1986,True,True,5<x<=10,5,10,C,1986_TRUE_TRUE_5<x<=10_C,6.75
1987,True,True,5<x<=10,5,10,C,1987_TRUE_TRUE_5<x<=10_C,6.25
1988,True,True,5<x<=10,5,10,C,1988_TRUE_TRUE_5<x<=10_C,6.75
1989,True,True,5<x<=10,5,10,C,1989_TRUE_TRUE_5<x<=10_C,6.5
1990,True,True,5<x<=10,5,10,C,1990_TRUE_TRUE_5<x<=10_C,6.25
1991,True,True,5<x<=10,5,10,C,1991_TRUE_TRUE_5<x<=10_C,6.25
1992,True,True,5<x<=10,5,10,C,1992_TRUE_TRUE_5<x<=10_C,6.0
1993,True,True,5<x<=10,5,10,C,1993_TRUE_TRUE_5<x<=10_C,5.5
1994,True,True,5<x<=10,5,10,C,1994_TRUE_TRUE_5<x<=10_C,5.25
1995,True,True,5<x<=10,5,10,C,1995_TRUE_TRUE_5<x<=10_C,5.75
1996,True,True,5<x<=10,5,10,C,1996_TRUE_TRUE_5<x<=10_C,5.25
1997,True,True,5<x<=10,5,10,C,1997_TRUE_TRUE_5<x<=10_C,5.25
1998,True,True,5<x<=10,5,10,C,1998_TRUE_TRUE_5<x<=10_C,5.0
1999,True,True,5<x<=10,5,10,C,1999_TRUE_TRUE_5<x<=10_C,5.0
2000,True,True,5<x<=10,5,10,C,2000_TRUE_TRUE_5<x<=10_C,5.5
2001,True,True,5<x<=10,5,10,C,2001_TRUE_TRUE_5<x<=10_C,5.25
2002,True,True,5<x<=10,5,10,C,2002_TRUE_TRUE_5<x<=10_C,5.25
2003,True,True,5<x<=10,5,10,C,2003_TRUE_TRUE_5<x<=10_C,4.75
2004,True,True,5<x<=10,5,10,C,2004_TRUE_TRUE_5<x<=10_C,4.75
2005,True,True,5<x<=10,5,10,C,2005_TRUE_TRUE_5<x<=10_C,4.5
2006,True,True,5<x<=10,5,10,C,2006_TRUE_TRUE_5<x<=10_C,4.5
2007,True,True,5<x<=10,5,10,C,2007_TRUE_TRUE_5<x<=10_C,4.5
2008,True,True,5<x<=10,5,10,C,2008_TRUE_TRUE_5<x<=10_C,4.5
2009,True,True,5<x<=10,5,10,C,2009_TRUE_TRUE_5<x<=10_C,5.0
2010,True,True,5<x<=10,5,10,C,2010_TRUE_TRUE_5<x<=10_C,4.25
2011,True,True,5<x<=10,5,10,C,2011_TRUE_TRUE_5<x<=10_C,4.25
2012,True,True,5<x<=10,5,10,C,2012_TRUE_TRUE_5<x<=10_C,3.75
2013,True,True,5<x<=10,5,10,C,2013_TRUE_TRUE_5<x<=10_C,3.5
2014,True,True,5<x<=10,5,10,C,2014_TRUE_TRUE_5<x<=10_C,3.75
2015,True,True,5<x<=10,5,10,C,2015_TRUE_TRUE_5<x<=10_C,3.5
2016,True,True,5<x<=10,5,10,C,2016_TRUE_TRUE_5<x<=10_C,3.75
2017,True,True,5<x<=10,5,10,C,2017_TRUE_TRUE_5<x<=10_C,3.5
2018,True,True,5<x<=10,5,10,C,2018_TRUE_TRUE_5<x<=10_C,3.5
2019,True,True,5<x<=10,5,10,C,2019_TRUE_TRUE_5<x<=10_C,3.75
2020,True,True,5<x<=10,5,10,C,2020_TRUE_TRUE_5<x<=10_C,3.25
2021,True,True,5<x<=10,5,10,C,2021_TRUE_TRUE_5<x<=10_C,3.0
2022,True,True,5<x<=10,5,10,C,2022_TRUE_TRUE_5<x<=10_C,3.25
2023,True,True,5<x<=10,5,10,C,2023_TRUE_TRUE_5<x<=10_C,4.0
2024,True,True,5<x<=10,10,20,C,2024_TRUE_TRUE_5<x<=10_C,4.25
1983,True,True,10<x<=20,10,20,A,1983_TRUE_TRUE_10<x<=20_A,8.25
1984,True,True,10<x<=20,10,20,A,1984_TRUE_TRUE_10<x<=20_A,8.25
1985,True,True,10<x<=20,10,20,A,1985_TRUE_TRUE_10<x<=20_A,8.25
1986,True,True,10<x<=20,10,20,A,1986_TRUE_TRUE_10<x<=20_A,7.5
1987,True,True,10<x<=20,10,20,A,1987_TRUE_TRUE_10<x<=20_A,7.0
1988,True,True,10<x<=20,10,20,A,1988_TRUE_TRUE_10<x<=20_A,7.25
1989,True,True,10<x<=20,10,20,A,1989_TRUE_TRUE_10<x<=20_A,7.25
1990,True,True,10<x<=20,10,20,A,1990_TRUE_TRUE_10<x<=20_A,7.0
1991,True,True,10<x<=20,10,20,A,1991_TRUE_TRUE_10<x<=20_A,7.0
